CustomerID,Recency,Frequency,Monetary,Cluster
12346,326.0,1.0,19880.99570000001,2
12347,2.0,7.0,4310.0,1
12348,75.0,4.0,1797.24,1
12349,19.0,1.0,1757.55,1
12350,310.0,1.0,334.4,0
12352,36.0,8.0,2506.04,1
12353,204.0,1.0,89.0,0
12354,232.0,1.0,1079.4,0
12355,214.0,1.0,459.4,0
12356,23.0,3.0,2811.43,1
12357,33.0,1.0,6207.67,1
12358,2.0,2.0,1168.06,1
12359,58.0,4.0,6372.58,1
12360,52.0,3.0,2662.06,1
12361,287.0,1.0,189.9,0
12362,3.0,10.0,5226.23,1
12363,110.0,2.0,552.0,1
12364,8.0,4.0,1313.1,1
12365,291.0,2.0,641.38,0
12367,4.0,1.0,168.9,1
12370,51.0,4.0,3545.69,1
12371,45.0,2.0,1887.96,1
12372,72.0,3.0,1298.04,1
12373,311.0,1.0,364.6,0
12374,25.0,1.0,742.9300000000001,1
12375,11.0,2.0,457.5,1
12377,315.0,2.0,1628.12,0
12378,130.0,1.0,4008.62,1
12379,82.0,2.0,852.24,1
12380,22.0,4.0,2724.81,1
12381,5.0,5.0,1845.31,1
12383,185.0,5.0,1850.56,0
12384,29.0,2.0,585.27,1
12386,338.0,2.0,401.9,0
12388,16.0,6.0,2780.66,1
12390,80.0,1.0,549.84,1
12391,22.0,1.0,460.89,1
12393,72.0,4.0,1582.6000000000001,1
12394,64.0,2.0,1272.48,1
12395,19.0,12.0,3018.63,1
12397,36.0,2.0,2409.9,1
12398,46.0,1.0,1635.6599999999999,1
12399,119.0,4.0,1108.65,1
12401,303.0,1.0,84.3,0
12402,323.0,1.0,225.6,0
12403,50.0,1.0,427.7,1
12405,149.0,1.0,1710.39,0
12406,22.0,2.0,3415.3,1
12407,50.0,5.0,1708.1200000000001,1
12408,33.0,5.0,2888.55,1
12409,79.0,3.0,11072.67,2
12410,309.0,2.0,693.3299999999999,0
12412,75.0,3.0,1226.88,1
12413,67.0,3.0,758.1,1
12414,217.0,3.0,562.41,0
12415,24.0,21.0,19880.99570000001,2
12417,3.0,9.0,3649.1,1
12418,113.0,1.0,668.58,1
12420,64.0,1.0,600.39,1
12421,16.0,4.0,807.04,1
12422,96.0,3.0,803.5600000000001,1
12423,1.0,8.0,1859.31,1
12424,163.0,2.0,1760.96,0
12425,78.0,1.0,777.2,1
12426,195.0,1.0,582.73,0
12427,22.0,3.0,825.8,1
12428,26.0,9.0,7956.46,2
12429,9.0,4.0,3750.4,1
12430,43.0,1.0,256.4,1
12431,36.0,15.0,6487.45,2
12432,43.0,5.0,5059.32,1
12433,1.0,7.0,13375.87,2
12434,85.0,2.0,806.14,1
12435,80.0,2.0,7829.89,1
12436,100.0,1.0,509.01,1
12437,2.0,18.0,4951.41,2
12438,14.0,2.0,2906.85,1
12441,367.0,1.0,173.55,0
12442,3.0,1.0,172.06,1
12444,21.0,5.0,5005.46,1
12445,22.0,1.0,133.4,1
