CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326.0,1.0,19880.99570000001,2,VIP Customers
12347,2.0,7.0,4310.0,1,Regular Customers
12348,75.0,4.0,1797.24,1,Regular Customers
12349,19.0,1.0,1757.55,1,Regular Customers
12350,310.0,1.0,334.4,0,At-Risk Customers
12352,36.0,8.0,2506.04,1,Regular Customers
12353,204.0,1.0,89.0,0,At-Risk Customers
12354,232.0,1.0,1079.4,0,At-Risk Customers
12355,214.0,1.0,459.4,0,At-Risk Customers
12356,23.0,3.0,2811.43,1,Regular Customers
12357,33.0,1.0,6207.67,1,Regular Customers
12358,2.0,2.0,1168.06,1,Regular Customers
12359,58.0,4.0,6372.58,1,Regular Customers
12360,52.0,3.0,2662.06,1,Regular Customers
12361,287.0,1.0,189.9,0,At-Risk Customers
12362,3.0,10.0,5226.23,1,Regular Customers
12363,110.0,2.0,552.0,1,Regular Customers
12364,8.0,4.0,1313.1,1,Regular Customers
12365,291.0,2.0,641.38,0,At-Risk Customers
12367,4.0,1.0,168.9,1,Regular Customers
12370,51.0,4.0,3545.69,1,Regular Customers
12371,45.0,2.0,1887.96,1,Regular Customers
12372,72.0,3.0,1298.04,1,Regular Customers
12373,311.0,1.0,364.6,0,At-Risk Customers
12374,25.0,1.0,742.9300000000001,1,Regular Customers
12375,11.0,2.0,457.5,1,Regular Customers
12377,315.0,2.0,1628.12,0,At-Risk Customers
12378,130.0,1.0,4008.62,1,Regular Customers
12379,82.0,2.0,852.24,1,Regular Customers
12380,22.0,4.0,2724.81,1,Regular Customers
12381,5.0,5.0,1845.31,1,Regular Customers
12383,185.0,5.0,1850.56,0,At-Risk Customers
12384,29.0,2.0,585.27,1,Regular Customers
12386,338.0,2.0,401.9,0,At-Risk Customers
12388,16.0,6.0,2780.66,1,Regular Customers
12390,80.0,1.0,549.84,1,Regular Customers
12391,22.0,1.0,460.89,1,Regular Customers
12393,72.0,4.0,1582.6000000000001,1,Regular Customers
12394,64.0,2.0,1272.48,1,Regular Customers
12395,19.0,12.0,3018.63,1,Regular Customers
12397,36.0,2.0,2409.9,1,Regular Customers
12398,46.0,1.0,1635.6599999999999,1,Regular Customers
12399,119.0,4.0,1108.65,1,Regular Customers
12401,303.0,1.0,84.3,0,At-Risk Customers
12402,323.0,1.0,225.6,0,At-Risk Customers
12403,50.0,1.0,427.7,1,Regular Customers
12405,149.0,1.0,1710.39,0,At-Risk Customers
12406,22.0,2.0,3415.3,1,Regular Customers
12407,50.0,5.0,1708.1200000000001,1,Regular Customers
12408,33.0,5.0,2888.55,1,Regular Customers
12409,79.0,3.0,11072.67,2,VIP Customers
12410,309.0,2.0,693.3299999999999,0,At-Risk Customers
12412,75.0,3.0,1226.88,1,Regular Customers
12413,67.0,3.0,758.1,1,Regular Customers
12414,217.0,3.0,562.41,0,At-Risk Customers
12415,24.0,21.0,19880.99570000001,2,VIP Customers
12417,3.0,9.0,3649.1,1,Regular Customers
12418,113.0,1.0,668.58,1,Regular Customers
12420,64.0,1.0,600.39,1,Regular Customers
12421,16.0,4.0,807.04,1,Regular Customers
12422,96.0,3.0,803.5600000000001,1,Regular Customers
12423,1.0,8.0,1859.31,1,Regular Customers
12424,163.0,2.0,1760.96,0,At-Risk Customers
12425,78.0,1.0,777.2,1,Regular Customers
12426,195.0,1.0,582.73,0,At-Risk Customers
12427,22.0,3.0,825.8,1,Regular Customers
12428,26.0,9.0,7956.46,2,VIP Customers
12429,9.0,4.0,3750.4,1,Regular Customers
12430,43.0,1.0,256.4,1,Regular Customers
12431,36.0,15.0,6487.45,2,VIP Customers
12432,43.0,5.0,5059.32,1,Regular Customers
12433,1.0,7.0,13375.87,2,VIP Customers
12434,85.0,2.0,806.14,1,Regular Customers
12435,80.0,2.0,7829.89,1,Regular Customers
12436,100.0,1.0,509.01,1,Regular Customers
12437,2.0,18.0,4951.41,2,VIP Customers
12438,14.0,2.0,2906.85,1,Regular Customers
12441,367.0,1.0,173.55,0,At-Risk Customers
12442,3.0,1.0,172.06,1,Regular Customers
12444,21.0,5.0,5005.46,1,Regular Customers
12445,22.0,1.0,133.4,1,Regular Customers
12446,58.0,1.0,1002.3100000000001,1,Regular Customers
12447,243.0,1.0,476.49,0,At-Risk Customers
12448,44.0,1.0,449.45,1,Regular Customers
12449,22.0,4.0,4067.29,1,Regular Customers
12450,156.0,2.0,197.88,0,At-Risk Customers
12451,11.0,5.0,9035.52,1,Regular Customers
12452,17.0,2.0,430.57,1,Regular Customers
12453,134.0,1.0,707.09,1,Regular Customers
12454,56.0,1.0,3528.34,1,Regular Customers
12455,73.0,6.0,2466.86,1,Regular Customers
12456,44.0,3.0,3181.04,1,Regular Customers
